daqtime,ecg,bvp,gsr,rsp,skt,emg_zygo,emg_coru,emg_trap,video
0.01,0.846,38.172,11.749,27.61,29.495,7.288,8.684,6.549,10
1.01,0.836,38.25,11.737,27.6,29.488,7.288,8.726,6.467,10
2.01,0.843,38.056,11.757,27.6,29.488,7.329,8.726,6.59,10
3.01,0.836,38.076,11.729,27.571,29.481,7.206,8.644,6.467,10
4.01,0.853,38.211,11.745,27.591,29.484,7.247,8.767,6.508,10
5.01,0.862,38.327,11.753,27.63,29.509,7.411,8.931,6.713,10
6.01,0.839,38.037,11.741,27.591,29.491,7.165,8.808,6.549,10
7.01,0.853,38.163,11.745,27.61,29.484,7.329,8.849,6.631,10
8.01,0.839,38.269,11.722,27.581,29.484,7.206,8.684,6.467,10
9.01,0.849,38.347,11.745,27.61,29.495,7.288,8.808,6.672,10
10.01,0.83,37.766,11.725,27.581,29.484,7.206,8.684,6.508,10
11.01,0.83,37.921,11.729,27.591,29.484,7.206,8.684,6.385,10
12.01,0.846,38.076,11.745,27.61,29.498,7.329,8.767,6.59,10
13.01,0.826,38.056,11.737,27.591,29.491,7.165,8.684,6.508,10
14.01,0.839,38.056,11.745,27.591,29.488,7.288,8.684,6.508,10
15.01,0.833,38.172,11.737,27.591,29.481,7.124,8.644,6.385,10
16.01,0.83,38.308,11.737,27.591,29.491,7.329,8.726,6.549,10
17.01,0.823,38.337,11.745,27.591,29.491,7.206,8.684,6.508,10
18.01,0.81,37.921,11.729,27.562,29.477,7.124,8.561,6.302,10
19.01,0.833,38.105,11.737,27.591,29.491,7.247,8.684,6.508,10
20.01,0.833,38.182,11.722,27.591,29.481,7.247,8.602,6.508,10
21.01,0.836,38.221,11.729,27.591,29.484,7.288,8.602,6.508,10
22.01,0.823,38.027,11.71,27.591,29.488,7.165,8.561,6.467,10
23.01,0.833,38.182,11.737,27.591,29.488,7.288,8.644,6.59,10
24.01,0.83,38.26,11.725,27.6,29.491,7.329,8.602,6.549,10
25.01,0.816,38.085,11.722,27.533,29.477,7.165,8.438,6.343,10
26.01,0.843,38.066,11.737,27.6,29.484,7.288,8.561,6.467,10
27.01,0.826,38.172,11.737,27.591,29.491,7.165,8.52,6.467,10
28.01,0.836,38.26,11.745,27.6,29.491,7.329,8.561,6.508,10
29.01,0.836,38.027,11.729,27.571,29.484,7.247,8.356,6.467,10
30.01,0.853,38.172,11.725,27.6,29.495,7.329,8.479,6.508,10
31.01,0.849,38.298,11.741,27.62,29.502,7.411,8.52,6.59,10
32.01,0.823,38.337,11.729,27.562,29.477,7.165,8.274,6.343,10
33.01,0.843,38.008,11.722,27.591,29.495,7.37,8.356,6.467,10
34.01,0.833,38.153,11.729,27.581,29.491,7.329,8.356,6.467,10
35.01,0.833,38.269,11.745,27.6,29.491,7.37,8.356,6.549,10
36.01,0.826,38.318,11.722,27.562,29.477,7.288,8.233,6.385,10
37.01,0.826,37.921,11.725,27.581,29.484,7.452,8.274,6.467,10
38.01,0.836,38.076,11.737,27.63,29.498,7.575,8.438,6.672,10
39.01,0.823,38.143,11.718,27.571,29.484,7.288,8.233,6.508,10
40.01,0.823,38.211,11.718,27.571,29.484,7.411,8.233,6.467,10
41.01,0.826,38.153,11.725,27.581,29.484,7.411,8.192,6.385,10
42.01,0.816,38.289,11.729,27.61,29.484,7.494,8.15,6.508,10
43.01,0.826,38.356,11.722,27.591,29.477,7.329,8.15,6.343,10
44.01,0.83,38.405,11.745,27.591,29.484,7.37,8.109,6.385,10
45.01,0.833,38.037,11.769,27.62,29.502,7.575,8.274,6.631,10
46.01,0.813,38.163,11.725,27.581,29.488,7.37,8.109,6.508,10
47.01,0.816,38.24,11.729,27.6,29.484,7.452,8.069,6.467,10
48.01,0.813,38.385,11.718,27.591,29.484,7.37,8.069,6.467,10
49.01,0.816,38.143,11.725,27.581,29.491,7.494,8.109,6.508,10
50.01,0.813,38.24,11.729,27.571,29.477,7.37,7.986,6.426,10
51.01,0.816,38.347,11.733,27.581,29.484,7.411,7.945,6.385,10
52.01,0.833,38.056,11.741,27.63,29.495,7.534,8.069,6.549,10
53.01,0.813,38.095,11.729,27.581,29.484,7.494,8.027,6.508,10
54.01,0.816,38.211,11.722,27.6,29.484,7.452,7.986,6.467,10
55.01,0.807,38.26,11.714,27.581,29.488,7.288,7.945,6.426,10
56.01,0.816,38.046,11.737,27.6,29.484,7.452,8.027,6.467,10
57.01,0.807,38.172,11.725,27.581,29.481,7.452,7.986,6.467,10
58.01,0.81,38.298,11.718,27.552,29.474,7.329,7.863,6.302,10
59.01,0.826,38.405,11.737,27.581,29.488,7.494,7.945,6.508,10
60.01,0.81,37.969,11.741,27.571,29.484,7.411,7.904,6.467,10
61.01,0.81,38.134,11.729,27.581,29.484,7.452,7.986,6.508,10
62.01,0.803,38.24,11.722,27.571,29.477,7.37,7.822,6.385,10
63.01,0.807,38.318,11.737,27.6,29.488,7.494,7.986,6.508,10
64.01,0.81,38.085,11.722,27.591,29.484,7.534,7.986,6.549,10
65.01,0.807,38.182,11.698,27.542,29.47,7.411,7.699,6.302,10
66.01,0.823,38.327,11.725,27.571,29.488,7.534,7.904,6.467,10
67.01,0.813,38.356,11.722,27.591,29.481,7.494,7.781,6.426,10
68.01,0.813,38.056,11.722,27.591,29.488,7.575,7.863,6.467,10
69.01,0.8,38.143,11.718,27.571,29.477,7.534,7.699,6.302,10
70.01,0.813,38.289,11.729,27.6,29.488,7.617,7.863,6.467,10
71.01,0.813,38.318,11.714,27.61,29.495,7.699,7.945,6.549,10
72.01,0.793,37.979,11.714,27.542,29.477,7.411,7.699,6.385,10
73.01,0.803,38.105,11.729,27.581,29.481,7.534,7.822,6.467,10
74.01,0.793,38.221,11.725,27.571,29.474,7.575,7.699,6.343,10
75.01,0.803,37.969,11.722,27.591,29.484,7.575,7.822,6.385,10
76.01,0.803,37.94,11.706,27.571,29.481,7.494,7.74,6.302,10
77.01,0.803,38.085,11.722,27.581,29.484,7.658,7.699,6.426,10
78.01,0.813,38.211,11.733,27.62,29.495,7.781,7.863,6.549,10
79.01,0.807,38.037,11.729,27.581,29.481,7.617,7.74,6.385,10
80.01,0.803,38.182,11.725,27.581,29.484,7.658,7.658,6.467,10
81.01,0.807,38.298,11.714,27.562,29.484,7.658,7.658,6.302,10
82.01,0.803,38.395,11.725,27.591,29.484,7.74,7.781,6.467,10
83.01,0.807,37.833,11.71,27.571,29.477,7.617,7.575,6.302,10
84.01,0.8,37.988,11.706,27.581,29.477,7.617,7.534,6.385,10
85.01,0.82,38.134,11.737,27.62,29.495,7.74,7.699,6.426,10
86.01,0.803,38.163,11.718,27.581,29.481,7.617,7.575,6.426,10
87.01,0.797,37.95,11.733,27.591,29.484,7.699,7.534,6.426,10
88.01,0.79,38.076,11.737,27.571,29.481,7.617,7.575,6.343,10
89.01,0.79,38.211,11.725,27.6,29.481,7.74,7.617,6.549,10
90.01,0.8,38.231,11.698,27.581,29.484,7.699,7.617,6.467,10
91.01,0.8,37.862,11.722,27.571,29.47,7.617,7.452,6.385,10
92.01,0.797,38.037,11.718,27.591,29.481,7.699,7.534,6.467,10
93.01,0.777,38.124,11.722,27.581,29.477,7.699,7.452,6.426,10
94.01,0.784,38.143,11.714,27.591,29.484,7.699,7.534,6.467,10
95.01,0.797,37.882,11.706,27.571,29.481,7.575,7.494,6.343,10
96.01,0.803,38.017,11.729,27.591,29.491,7.699,7.494,6.508,10
97.01,0.787,38.114,11.714,27.581,29.481,7.617,7.452,6.385,10
98.01,0.784,37.998,11.706,27.542,29.463,7.534,7.329,6.22,10
99.01,0.793,37.93,11.741,27.581,29.481,7.658,7.452,6.385,10
100.01,0.79,38.046,11.737,27.591,29.477,7.534,7.494,6.343,10
101.01,0.784,38.153,11.729,27.591,29.484,7.575,7.494,6.385,10
102.01,0.78,37.853,11.71,27.562,29.474,7.452,7.37,6.343,10
103.01,0.787,37.998,11.725,27.591,29.484,7.617,7.494,6.426,10
104.01,0.8,38.134,11.737,27.63,29.495,7.699,7.575,6.549,10
105.01,0.787,38.153,11.714,27.571,29.481,7.494,7.411,6.343,10
106.01,0.79,37.649,11.722,27.591,29.488,7.534,7.452,6.467,10
107.01,0.78,37.795,11.725,27.571,29.477,7.494,7.329,6.385,10
108.01,0.784,37.911,11.733,27.61,29.488,7.534,7.494,6.467,10
109.01,0.793,37.969,11.737,27.591,29.477,7.411,7.288,6.262,10
110.01,0.79,37.775,11.733,27.581,29.481,7.534,7.494,6.385,10
111.01,0.803,37.959,11.733,27.62,29.495,7.617,7.534,6.549,10
112.01,0.79,38.027,11.725,27.571,29.477,7.452,7.411,6.426,10
113.01,0.787,38.076,11.718,27.571,29.484,7.452,7.411,6.385,10
114.01,0.78,37.659,11.714,27.571,29.481,7.411,7.411,6.385,10
115.01,0.777,37.814,11.71,27.591,29.484,7.494,7.452,6.426,10
116.01,0.774,37.892,11.698,27.552,29.477,7.329,7.411,6.302,10
117.01,0.78,37.921,11.71,27.562,29.481,7.37,7.37,6.343,10
118.01,0.8,37.814,11.718,27.6,29.491,7.534,7.494,6.467,10
119.01,0.777,37.911,11.722,27.571,29.484,7.452,7.411,6.426,10
120.01,0.787,38.027,11.714,27.581,29.488,7.494,7.411,6.343,10
121.01,0.774,38.289,11.71,27.591,29.477,7.411,7.329,6.343,10
122.01,0.784,37.824,11.71,27.591,29.484,7.494,7.534,6.467,10
123.01,0.774,37.921,11.706,27.591,29.477,7.452,7.411,6.385,10
124.01,0.774,37.998,11.702,27.571,29.47,7.247,7.206,6.262,10
125.01,0.777,37.582,11.714,27.591,29.474,7.411,7.411,6.426,10
126.01,0.777,37.611,11.702,27.591,29.477,7.37,7.329,6.385,10
127.01,0.79,37.717,11.722,27.61,29.484,7.494,7.288,6.385,10
128.01,0.78,37.804,11.722,27.571,29.474,7.329,7.288,6.343,10
129.01,0.787,37.64,11.718,27.6,29.484,7.452,7.37,6.467,10
130.01,0.79,37.804,11.722,27.6,29.488,7.452,7.329,6.467,10
131.01,0.784,37.862,11.702,27.562,29.474,7.206,7.206,6.302,10
132.01,0.78,37.959,11.71,27.591,29.481,7.329,7.247,6.385,10
133.01,0.79,37.504,11.714,27.581,29.481,7.288,7.206,6.385,10
134.01,0.787,37.659,11.725,27.591,29.488,7.37,7.288,6.385,10
135.01,0.78,37.737,11.71,27.552,29.477,7.288,7.165,6.262,10
136.01,0.777,37.824,11.725,27.581,29.481,7.329,7.247,6.343,10
137.01,0.777,37.678,11.718,27.63,29.495,7.411,7.411,6.508,10
138.01,0.757,37.766,11.71,27.591,29.474,7.288,7.165,6.302,10
139.01,0.777,37.882,11.725,27.591,29.477,7.288,7.288,6.302,10
140.01,0.77,37.911,11.706,27.571,29.47,7.329,7.124,6.343,10
141.01,0.77,37.543,11.718,27.61,29.477,7.329,7.206,6.343,10
142.01,0.764,37.659,11.71,27.562,29.474,7.206,7.165,6.262,10
143.01,0.78,37.766,11.718,27.591,29.484,7.247,7.247,6.343,10
144.01,0.784,37.814,11.725,27.63,29.488,7.329,7.329,6.549,10
145.01,0.78,37.582,11.714,27.571,29.474,7.206,7.206,6.343,10
146.01,0.777,37.717,11.714,27.591,29.484,7.206,7.165,6.467,10
147.01,0.774,37.824,11.722,27.591,29.474,7.124,7.124,6.343,10
148.01,0.77,37.698,11.725,27.6,29.484,7.206,7.206,6.385,10
149.01,0.774,37.698,11.698,27.581,29.47,7.083,7.001,6.302,10
150.01,0.774,37.833,11.714,27.571,29.481,7.083,7.124,6.262,10
151.01,0.774,37.959,11.729,27.63,29.491,7.288,7.165,6.508,10
152.01,0.764,37.32,11.706,27.591,29.481,7.124,7.247,6.343,10
153.01,0.757,37.446,11.722,27.591,29.484,7.083,7.165,6.385,10
154.01,0.774,37.562,11.71,27.581,29.47,7.083,7.124,6.302,10
155.01,0.777,37.649,11.714,27.591,29.481,7.083,7.206,6.426,10
156.01,0.764,37.417,11.714,27.581,29.477,7.042,7.124,6.302,10
157.01,0.774,37.553,11.706,27.571,29.463,7.042,7.042,6.22,10
158.01,0.787,37.698,11.722,27.61,29.488,7.206,7.083,6.343,10
159.01,0.77,37.717,11.706,27.591,29.477,7.042,7.124,6.343,10
160.01,0.767,37.407,11.714,27.591,29.477,7.206,7.124,6.302,10
161.01,0.777,37.543,11.698,27.581,29.477,7.001,7.124,6.22,10
162.01,0.793,37.688,11.722,27.62,29.481,7.124,7.247,6.343,10
163.01,0.784,37.717,11.718,27.581,29.477,7.124,7.165,6.343,10
164.01,0.777,37.368,11.706,27.571,29.463,7.001,6.96,6.22,10
165.01,0.793,37.533,11.714,27.6,29.484,7.124,7.165,6.385,10
166.01,0.797,37.63,11.722,27.6,29.477,7.124,7.083,6.262,10
167.01,0.803,37.64,11.706,27.6,29.481,7.083,7.206,6.343,10
168.01,0.807,37.417,11.694,27.591,29.474,7.083,7.124,6.22,10
169.01,0.807,37.553,11.718,27.62,29.484,7.165,7.247,6.343,10
170.01,0.816,37.649,11.718,27.591,29.477,7.206,7.124,6.343,10
171.01,0.807,37.514,11.706,27.552,29.467,7.083,7.001,6.138,10
172.01,0.82,37.349,11.722,27.61,29.477,7.206,7.124,6.343,10
173.01,0.81,37.456,11.702,27.581,29.474,7.165,7.083,6.343,10
174.01,0.826,37.553,11.714,27.571,29.474,7.206,7.165,6.343,10
175.01,0.82,37.252,11.694,27.571,29.47,7.247,7.083,6.262,10
176.01,0.83,37.359,11.722,27.591,29.484,7.37,7.165,6.343,10
177.01,0.83,37.456,11.722,27.591,29.477,7.411,7.165,6.385,10
178.01,0.839,37.543,11.71,27.571,29.47,7.288,7.042,6.179,10
179.01,0.846,37.146,11.729,27.591,29.484,7.452,7.083,6.343,10
180.01,0.853,37.262,11.706,27.591,29.477,7.452,7.124,6.302,10
181.01,0.862,37.398,11.706,27.571,29.477,7.452,7.288,6.302,10
182.01,0.843,37.456,11.698,27.591,29.47,7.452,7.083,6.262,10
183.01,0.853,37.272,11.706,27.6,29.477,7.575,7.247,6.426,10
184.01,0.862,37.427,11.722,27.591,29.484,7.575,7.165,6.343,10
185.01,0.866,37.494,11.706,27.562,29.467,7.411,6.96,6.179,10
186.01,0.876,37.601,11.71,27.61,29.477,7.575,7.165,6.343,10
187.01,0.872,37.243,11.706,27.591,29.477,7.534,7.124,6.262,10
188.01,0.879,37.368,11.706,27.6,29.481,7.494,7.206,6.22,10
189.01,0.885,37.456,11.702,27.571,29.467,7.494,7.001,6.22,10
190.01,0.895,37.514,11.729,27.591,29.484,7.575,7.165,6.426,10
191.01,0.899,37.126,11.741,27.6,29.477,7.534,7.247,6.343,10
192.01,0.892,37.233,11.698,27.562,29.463,7.329,7.001,6.22,10
193.01,0.895,37.368,11.698,27.6,29.474,7.494,7.124,6.302,10
194.01,0.902,37.775,11.729,27.6,29.477,7.494,7.124,6.302,10
195.01,0.912,37.155,11.722,27.61,29.477,7.452,7.165,6.343,10
196.01,0.918,37.252,11.718,27.571,29.47,7.494,7.001,6.22,10
197.01,0.931,37.388,11.722,27.61,29.477,7.494,7.165,6.343,10
198.01,0.935,37.155,11.718,27.62,29.477,7.617,7.206,6.385,10
199.01,0.922,37.165,11.698,27.571,29.47,7.452,7.001,6.22,10
200.01,0.931,37.31,11.718,27.6,29.474,7.452,7.042,6.343,10
201.01,0.928,37.388,11.71,27.591,29.477,7.494,7.083,6.22,10
202.01,0.908,37.175,11.714,27.61,29.477,7.452,7.165,6.385,10
203.01,0.905,37.272,11.702,27.571,29.47,7.411,7.083,6.262,10
204.01,0.899,37.388,11.702,27.6,29.47,7.452,6.96,6.262,10
205.01,0.908,37.504,11.722,27.63,29.484,7.617,7.124,6.343,10
206.01,0.902,37.029,11.706,27.591,29.477,7.494,7.124,6.302,10
207.01,0.905,37.175,11.698,27.61,29.474,7.494,7.124,6.302,10
208.01,0.915,37.281,11.694,27.581,29.477,7.494,7.042,6.22,10
209.01,0.915,37.378,11.71,27.6,29.484,7.617,7.124,6.302,10
210.01,0.908,37.029,11.702,27.591,29.474,7.534,7.083,6.262,10
211.01,0.925,37.165,11.694,27.562,29.467,7.37,6.96,6.138,10
212.01,0.925,37.32,11.718,27.61,29.477,7.534,7.165,6.302,10
213.01,0.922,37.339,11.702,27.591,29.47,7.534,7.042,6.262,10
214.01,0.925,37.117,11.71,27.61,29.477,7.534,7.124,6.262,10
215.01,0.928,37.243,11.698,27.591,29.474,7.494,7.001,6.302,10
216.01,0.931,37.359,11.706,27.62,29.488,7.617,7.124,6.262,10
217.01,0.938,37.368,11.722,27.61,29.477,7.617,7.206,6.302,10
218.01,0.912,36.971,11.69,27.581,29.463,7.411,6.96,6.097,10
219.01,0.925,37.126,11.714,27.591,29.477,7.658,7.165,6.262,10
220.01,0.925,37.214,11.714,27.6,29.477,7.617,7.124,6.262,10
221.01,0.918,37.088,11.706,27.61,29.484,7.658,7.206,6.343,10
222.01,0.908,37.049,11.686,27.591,29.477,7.617,6.96,6.138,10
223.01,0.902,37.184,11.722,27.61,29.47,7.699,7.165,6.302,10
224.01,0.905,37.291,11.714,27.62,29.481,7.822,7.247,6.426,10
225.01,0.889,36.923,11.682,27.571,29.467,7.617,7.042,6.262,10
226.01,0.889,37.068,11.718,27.61,29.47,7.781,7.124,6.302,10
227.01,0.885,37.175,11.706,27.61,29.474,7.699,7.042,6.22,10
228.01,0.882,37.281,11.71,27.639,29.484,7.822,7.165,6.343,10
229.01,0.853,36.913,11.702,27.6,29.47,7.617,7.042,6.22,10
230.01,0.833,37.097,11.686,27.6,29.477,7.699,7.042,6.179,10
231.01,0.839,37.243,11.725,27.658,29.484,7.863,7.206,6.426,10
232.01,0.816,37.272,11.698,27.591,29.474,7.658,7.083,6.262,10
233.01,0.807,36.865,11.722,27.62,29.474,7.781,7.124,6.302,10
234.01,0.79,37,11.722,27.6,29.467,7.699,7.042,6.179,10
235.01,0.797,37.136,11.714,27.62,29.474,7.699,7.165,6.343,10
236.01,0.797,37.155,11.706,27.61,29.47,7.699,7.001,6.22,10
237.01,0.787,36.865,11.714,27.6,29.477,7.575,6.919,6.138,10
238.01,0.78,37.029,11.71,27.62,29.477,7.658,7.042,6.262,10
239.01,0.787,37.126,11.714,27.61,29.47,7.617,7.042,6.179,10
240.01,0.793,37.136,11.714,27.639,29.467,7.617,7.042,6.302,10
241.01,0.787,36.952,11.698,27.6,29.467,7.494,7.001,6.22,10
242.01,0.774,37.117,11.714,27.63,29.474,7.658,7.124,6.343,10
243.01,0.774,37.214,11.718,27.639,29.481,7.658,7.042,6.343,10
244.01,0.774,37.126,11.694,27.6,29.463,7.452,6.877,6.097,10
245.01,0.754,36.845,11.706,27.63,29.481,7.617,7.083,6.262,10
246.01,0.761,36.971,11.706,27.63,29.474,7.534,7.042,6.262,10
247.01,0.754,37.078,11.706,27.639,29.474,7.534,7.001,6.302,10
248.01,0.751,36.768,11.698,27.61,29.463,7.494,6.96,6.22,10
249.01,0.744,36.884,11.71,27.649,29.477,7.534,7.083,6.343,10
250.01,0.754,36.981,11.714,27.639,29.474,7.575,7.042,6.343,10
251.01,0.741,37.049,11.69,27.6,29.46,7.411,6.877,6.179,10
252.01,0.731,36.739,11.702,27.63,29.47,7.452,7.001,6.262,10
253.01,0.721,36.904,11.69,27.61,29.467,7.411,6.96,6.22,10
254.01,0.721,37.01,11.714,27.63,29.481,7.494,7.042,6.343,10
255.01,0.724,37.059,11.714,27.61,29.463,7.288,6.919,6.22,10
256.01,0.728,36.671,11.718,27.63,29.477,7.452,7.083,6.302,10
257.01,0.738,36.816,11.71,27.658,29.481,7.534,7.042,6.426,10
258.01,0.721,36.874,11.686,27.62,29.463,7.329,6.96,6.179,10
259.01,0.715,36.962,11.71,27.63,29.47,7.37,7.001,6.262,10
260.01,0.724,36.865,11.698,27.63,29.463,7.329,6.919,6.262,10
261.01,0.711,37.02,11.714,27.639,29.474,7.452,7.042,6.22,10
262.01,0.701,37.107,11.714,27.639,29.463,7.206,6.877,6.179,10
263.01,0.708,37.175,11.714,27.649,29.477,7.411,7.001,6.302,10
264.01,0.738,36.816,11.714,27.678,29.491,7.452,7.083,6.508,10
265.01,0.724,36.874,11.69,27.63,29.463,7.288,6.919,6.22,10
266.01,0.728,37.029,11.71,27.668,29.474,7.329,6.96,6.302,10
267.01,0.718,37.281,11.706,27.63,29.474,7.288,6.96,6.22,10
268.01,0.731,36.807,11.722,27.649,29.477,7.411,7.001,6.343,10
269.01,0.721,36.923,11.69,27.639,29.467,7.206,6.837,6.179,10
270.01,0.728,37.02,11.702,27.658,29.47,7.329,6.795,6.179,10
271.01,0.724,36.787,11.714,27.688,29.484,7.494,7.083,6.343,10
272.01,0.715,36.749,11.706,27.639,29.467,7.288,6.96,6.179,10
273.01,0.724,36.894,11.69,27.658,29.474,7.37,6.919,6.262,10
274.01,0.708,36.971,11.706,27.639,29.47,7.247,6.919,6.179,10
275.01,0.711,36.681,11.698,27.658,29.474,7.37,6.96,6.302,10
276.01,0.701,36.768,11.686,27.639,29.463,7.247,6.919,6.138,10
277.01,0.734,36.904,11.702,27.649,29.477,7.288,6.919,6.262,10
278.01,0.721,37.02,11.71,27.678,29.488,7.37,7.001,6.385,10
279.01,0.701,36.632,11.694,27.658,29.47,7.165,6.837,6.262,10
280.01,0.711,36.768,11.714,27.649,29.47,7.288,6.96,6.262,10
281.01,0.718,36.874,11.702,27.668,29.47,7.288,6.837,6.22,10
282.01,0.721,36.952,11.698,27.668,29.481,7.329,7.001,6.302,10
283.01,0.711,36.739,11.698,27.649,29.474,7.206,6.837,6.179,10
284.01,0.711,36.894,11.706,27.658,29.47,7.206,6.837,6.179,10
285.01,0.731,37.059,11.722,27.688,29.484,7.37,7.001,6.302,10
286.01,0.718,37.049,11.694,27.668,29.477,7.247,6.877,6.179,10
287.01,0.718,36.594,11.682,27.688,29.474,7.288,6.877,6.262,10
288.01,0.721,36.71,11.71,27.668,29.47,7.247,6.837,6.262,10
289.01,0.711,36.836,11.702,27.668,29.474,7.247,6.96,6.302,10
290.01,0.705,36.816,11.702,27.658,29.47,7.206,6.877,6.22,10
291.01,0.711,36.671,11.71,27.649,29.463,7.124,6.795,6.138,10
292.01,0.721,36.865,11.714,27.697,29.481,7.288,6.919,6.262,10
293.01,0.705,36.913,11.698,27.668,29.47,7.288,6.837,6.22,10
294.01,0.708,36.787,11.722,27.678,29.477,7.247,6.877,6.262,10
295.01,0.698,36.7,11.694,27.649,29.47,7.247,6.837,6.138,10
296.01,0.711,36.845,11.702,27.688,29.477,7.329,6.877,6.302,10
297.01,0.701,36.923,11.698,27.649,29.474,7.288,6.837,6.179,10
298.01,0.682,36.497,11.686,27.639,29.46,7.165,6.713,6.056,10
299.01,0.708,36.632,11.71,27.668,29.474,7.288,6.877,6.262,10
300.01,0.708,36.739,11.698,27.678,29.474,7.288,6.877,6.179,10
301.01,0.708,36.807,11.71,27.678,29.474,7.37,6.919,6.22,10
302.01,0.708,36.535,11.698,27.658,29.463,7.206,6.754,6.22,10
303.01,0.721,36.71,11.698,27.688,29.477,7.37,6.877,6.302,10
304.01,0.724,36.826,11.71,27.707,29.488,7.452,7.001,6.426,10
305.01,0.705,36.845,11.706,27.658,29.47,7.206,6.795,6.22,10
306.01,0.718,36.574,11.706,27.678,29.463,7.247,6.837,6.22,10
307.01,0.695,36.71,11.718,27.678,29.467,7.206,6.754,6.262,10
308.01,0.708,36.836,11.71,27.688,29.47,7.37,6.837,6.343,10
309.01,0.701,36.874,11.694,27.658,29.463,7.165,6.837,6.138,10
310.01,0.711,36.516,11.702,27.658,29.47,7.288,6.837,6.138,10
311.01,0.718,36.71,11.714,27.717,29.481,7.411,7.042,6.302,10
312.01,0.721,36.768,11.698,27.668,29.47,7.165,6.795,6.302,10
313.01,0.728,36.816,11.714,27.688,29.467,7.247,6.837,6.22,10
314.01,0.734,36.497,11.69,27.668,29.463,7.124,6.837,6.22,10
315.01,0.738,36.642,11.706,27.707,29.477,7.165,6.877,6.262,10
316.01,0.728,36.729,11.686,27.668,29.467,7.206,6.877,6.22,10
317.01,0.747,36.874,11.69,27.668,29.46,7.083,6.713,6.097,10
318.01,0.78,36.574,11.714,27.688,29.474,7.247,6.877,6.22,10
319.01,0.79,36.69,11.702,27.678,29.463,7.165,6.837,6.138,10
320.01,0.816,36.797,11.706,27.717,29.467,7.247,6.837,6.302,10
321.01,0.849,36.448,11.686,27.688,29.467,7.124,6.713,6.179,10
322.01,0.885,36.535,11.698,27.697,29.474,7.165,6.877,6.22,10
323.01,0.922,36.681,11.694,27.717,29.474,7.288,6.96,6.343,10
324.01,0.931,36.71,11.682,27.678,29.463,7.042,6.754,6.138,10
325.01,0.961,36.41,11.694,27.697,29.47,7.124,6.795,6.179,10
326.01,0.964,36.545,11.694,27.707,29.47,7.042,6.672,6.22,10
327.01,0.981,36.671,11.706,27.717,29.474,7.124,6.795,6.262,10
328.01,1,36.729,11.698,27.688,29.463,7.042,6.795,6.22,10
329.01,1.05,36.39,11.706,27.688,29.46,7.083,6.795,6.262,10
330.01,1.053,36.574,11.729,27.755,29.488,7.165,6.919,6.302,10
331.01,1.037,36.642,11.702,27.688,29.46,7.042,6.837,6.097,10
332.01,1.043,36.71,11.706,27.707,29.477,7.083,6.754,6.179,10
333.01,1.037,36.448,11.682,27.678,29.46,7.001,6.672,6.22,10
334.01,1.053,36.613,11.694,27.717,29.474,7.124,6.795,6.262,10
335.01,1.043,36.7,11.694,27.678,29.463,7.083,6.713,6.138,10
336.01,1.014,36.739,11.686,27.697,29.467,6.96,6.754,6.097,10
337.01,0.977,36.487,11.71,27.736,29.484,7.165,6.877,6.22,10
338.01,0.935,36.584,11.69,27.697,29.463,6.96,6.754,6.22,10
339.01,0.872,36.69,11.706,27.707,29.467,7.042,6.837,6.138,10
340.01,0.807,36.69,11.694,27.707,29.46,6.919,6.672,6.138,10
341.01,0.754,36.458,11.698,27.726,29.477,7.083,6.754,6.262,10
342.01,0.682,36.565,11.69,27.707,29.467,7.042,6.877,6.262,10
343.01,0.646,36.652,11.674,27.668,29.463,6.919,6.631,6.097,10
344.01,0.609,36.506,11.698,27.717,29.477,7.124,6.877,6.22,10
345.01,0.547,36.487,11.694,27.688,29.467,7.083,6.795,6.22,10
346.01,0.488,36.613,11.71,27.717,29.47,7.124,6.837,6.262,10
347.01,0.429,36.7,11.698,27.726,29.46,7.124,6.672,6.138,10
348.01,0.34,36.439,11.706,27.717,29.474,7.288,6.919,6.302,10
349.01,0.284,36.574,11.69,27.726,29.47,7.247,6.96,6.302,10
350.01,0.242,36.652,11.682,27.697,29.46,7.124,6.795,6.138,10
351.01,0.261,36.768,11.69,27.707,29.474,7.247,6.96,6.22,10
352.01,0.251,36.284,11.698,27.707,29.463,7.247,7.042,6.22,10
353.01,0.258,36.439,11.706,27.726,29.47,7.37,7.083,6.302,10
354.01,0.238,36.535,11.69,27.697,29.467,7.206,7.083,6.138,10
355.01,0.179,36.623,11.698,27.736,29.47,7.452,7.165,6.302,10
356.01,0.13,36.332,11.706,27.726,29.477,7.452,7.288,6.426,10
357.01,0.087,36.429,11.698,27.697,29.46,7.288,7.042,6.179,10
358.01,0.064,36.555,11.71,27.717,29.47,7.411,7.206,6.22,10
359.01,0.031,36.613,11.69,27.717,29.463,7.411,7.247,6.22,10
